Level,Runtime (s),C (exploration constant),k (progressive widening constant),alpha (progressive widening exponent),delta (visible area distance),theta (shadow distance),beta (guard distance),gamma (kernel distance),tau (kernel decay rate),top_k (kernels scored),eta (depth bonus),lambda (rollout weight),phi (rollout depth),rollout_ratio,visible node penalty,visible edge penalty,brute_force_moves,max_kernel_moves,path_cache_hits,num_path_queries,path_cache_hit_ratio,tt_hits,tt_queries,tt_hit_ratio,player_start_pos,visits_timesteps_shadow,visits_total_timesteps,visits_shadow_pct,score_timesteps_shadow,score_total_timesteps,score_shadow_pct,back_timesteps_shadow,back_total_timesteps,back_shadow_pct
mgs_level.json,60.002,1.4142135623730951,1.0,0.3,0.75,5.0,0.5,0.8,0.1,1,5.0,2.0,7,False,-100,0,False,inf,247,2667,9.26,87,477,18.24,"(18.6, 10.3)",35,36,97.22,35,36,97.22,35,36,97.22
mgs_level.json,63.317,1.4142135623730951,1.0,0.3,0.75,5.0,0.5,0.8,0.1,1,5.0,2.0,7,False,-100,0,False,inf,102,2926,3.49,110,613,17.94,"(13.6, 10.6)",31,36,86.11,31,36,86.11,31,36,86.11
mgs_level.json,60.104,1.4142135623730951,1.0,0.3,0.75,5.0,0.5,0.8,0.1,1,5.0,2.0,7,False,-100,0,False,inf,109,2226,4.9,61,428,14.25,"(1.5, 9.5)",36,36,100.0,36,36,100.0,36,36,100.0
mgs_level.json,93.44,1.4142135623730951,1.0,0.3,0.75,5.0,0.5,0.8,0.1,1,5.0,2.0,7,False,-100,0,False,inf,220,3980,5.53,200,913,21.91,"(7.0, 8.5)",36,36,100.0,36,36,100.0,36,36,100.0
mgs_level.json,63.5,1.4142135623730951,1.0,0.3,0.75,5.0,0.5,0.8,0.1,1,5.0,2.0,7,False,-100,0,False,inf,203,2689,7.55,95,538,17.66,"(9.5, 8.5)",36,36,100.0,36,36,100.0,36,36,100.0
mgs_level.json,66.089,1.4142135623730951,1.0,0.3,0.75,5.0,0.5,0.8,0.1,1,5.0,2.0,7,False,-100,0,False,inf,86,2296,3.75,76,485,15.67,"(13.0, 7.0)",32,36,88.89,32,36,88.89,32,36,88.89
mgs_level.json,64.323,1.4142135623730951,1.0,0.3,0.75,5.0,0.5,0.8,0.1,1,5.0,2.0,7,False,-100,0,False,inf,95,2484,3.82,106,570,18.6,"(6.5, 5.0)",36,36,100.0,36,36,100.0,36,36,100.0
mgs_level.json,127.983,1.4142135623730951,1.0,0.3,0.75,5.0,0.5,0.8,0.1,1,5.0,2.0,7,False,-100,0,False,inf,274,4869,5.63,172,945,18.2,"(4.0, 2.0)",36,36,100.0,36,36,100.0,36,36,100.0
mgs_level.json,133.621,1.4142135623730951,1.0,0.3,0.75,5.0,0.5,0.8,0.1,1,5.0,2.0,7,False,-100,0,False,inf,229,4661,4.91,188,922,20.39,"(8.0, 2.0)",36,36,100.0,36,36,100.0,36,36,100.0
mgs_level.json,86.759,1.4142135623730951,1.0,0.3,0.75,5.0,0.5,0.8,0.1,1,5.0,2.0,7,False,-100,0,False,inf,150,2956,5.07,117,599,19.53,"(13.0, 2.5)",36,36,100.0,36,36,100.0,36,36,100.0
