Level,Runtime (s),C (exploration constant),k (progressive widening constant),alpha (progressive widening exponent),delta (visible area distance),theta (shadow distance),beta (guard distance),gamma (kernel distance),tau (kernel decay rate),top_k (kernels scored),eta (depth bonus),lambda (rollout weight),phi (rollout depth),rollout_ratio,visible node penalty,visible edge penalty,brute_force_moves,max_kernel_moves,path_cache_hits,num_path_queries,path_cache_hit_ratio,tt_hits,tt_queries,tt_hit_ratio,player_start_pos,visits_timesteps_shadow,visits_total_timesteps,visits_shadow_pct,score_timesteps_shadow,score_total_timesteps,score_shadow_pct,back_timesteps_shadow,back_total_timesteps,back_shadow_pct
mgs_level.json,60.016,1.4142135623730951,1.0,0.3,0.75,5.0,0.5,1.0,0.1,3,5.0,2.0,7,False,-100,0,False,inf,326,2317,14.07,28,296,9.46,"(18.6, 10.3)",35,36,97.22,22,23,95.65,35,36,97.22
mgs_level.json,101.176,1.4142135623730951,1.0,0.3,0.75,5.0,0.5,1.0,0.1,3,5.0,2.0,7,False,-100,0,False,inf,377,3622,10.41,114,575,19.83,"(13.6, 10.6)",31,36,86.11,31,36,86.11,31,36,86.11
mgs_level.json,60.291,1.4142135623730951,1.0,0.3,0.75,5.0,0.5,1.0,0.1,3,5.0,2.0,7,False,-100,0,False,inf,237,1904,12.45,31,239,12.97,"(1.5, 9.5)",32,36,88.89,32,36,88.89,32,36,88.89
mgs_level.json,132.909,1.4142135623730951,1.0,0.3,0.75,5.0,0.5,1.0,0.1,3,5.0,2.0,7,False,-100,0,False,inf,717,6008,11.93,238,1013,23.49,"(7.0, 8.5)",36,36,100.0,26,26,100.0,36,36,100.0
mgs_level.json,95.225,1.4142135623730951,1.0,0.3,0.75,5.0,0.5,1.0,0.1,3,5.0,2.0,7,False,-100,0,False,inf,443,3798,11.66,95,572,16.61,"(9.5, 8.5)",36,36,100.0,36,36,100.0,36,36,100.0
mgs_level.json,122.475,1.4142135623730951,1.0,0.3,0.75,5.0,0.5,1.0,0.1,3,5.0,2.0,7,False,-100,0,False,inf,888,5854,15.17,246,1019,24.14,"(13.0, 7.0)",33,36,91.67,25,27,92.59,34,36,94.44
mgs_level.json,239.398,1.4142135623730951,1.0,0.3,0.75,5.0,0.5,1.0,0.1,3,5.0,2.0,7,False,-100,0,False,inf,1508,11543,13.06,439,1818,24.15,"(6.5, 5.0)",36,36,100.0,36,36,100.0,34,36,94.44
mgs_level.json,118.0,1.4142135623730951,1.0,0.3,0.75,5.0,0.5,1.0,0.1,3,5.0,2.0,7,False,-100,0,False,inf,535,5051,10.59,155,779,19.9,"(4.0, 2.0)",36,36,100.0,36,36,100.0,36,36,100.0
mgs_level.json,114.503,1.4142135623730951,1.0,0.3,0.75,5.0,0.5,1.0,0.1,3,5.0,2.0,7,False,-100,0,False,inf,561,5513,10.18,195,887,21.98,"(8.0, 2.0)",36,36,100.0,36,36,100.0,36,36,100.0
mgs_level.json,96.406,1.4142135623730951,1.0,0.3,0.75,5.0,0.5,1.0,0.1,3,5.0,2.0,7,False,-100,0,False,inf,511,4093,12.48,120,677,17.73,"(13.0, 2.5)",34,36,94.44,34,36,94.44,34,36,94.44
