Level,Runtime (s),C (exploration constant),k (progressive widening constant),alpha (progressive widening exponent),delta (visible area distance),theta (shadow distance),beta (guard distance),gamma (kernel distance),tau (kernel decay rate),top_k (kernels scored),eta (depth bonus),lambda (rollout weight),phi (rollout depth),rollout_ratio,visible node penalty,brute_force_moves,path_cache_hits,num_path_queries,path_cache_hit_ratio,tt_hits,tt_queries,tt_hit_ratio,player_start_pos,visits_timesteps_shadow,visits_total_timesteps,visits_shadow_pct,score_timesteps_shadow,score_total_timesteps,score_shadow_pct,back_timesteps_shadow,back_total_timesteps,back_shadow_pct
mgs_level.json,60.068,1.4142135623730951,1.0,0.3,0.75,5.0,0.5,2.0,0.1,5,5.0,2.0,7,False,-100,False,694,3267,21.24,60,363,16.53,"(18.6, 10.3)",34,36,94.44,34,36,94.44,34,36,94.44
mgs_level.json,62.168,1.4142135623730951,1.0,0.3,0.75,5.0,0.5,2.0,0.1,5,5.0,2.0,7,False,-100,False,458,3272,14.0,55,405,13.58,"(13.6, 10.6)",31,36,86.11,31,36,86.11,31,36,86.11
mgs_level.json,63.895,1.4142135623730951,1.0,0.3,0.75,5.0,0.5,2.0,0.1,5,5.0,2.0,7,False,-100,False,579,3550,16.31,65,411,15.82,"(1.5, 9.5)",36,36,100.0,36,36,100.0,36,36,100.0
mgs_level.json,212.292,1.4142135623730951,1.0,0.3,0.75,5.0,0.5,2.0,0.1,5,5.0,2.0,7,False,-100,False,2338,11714,19.96,399,1544,25.84,"(7.0, 8.5)",36,36,100.0,24,24,100.0,36,36,100.0
mgs_level.json,88.832,1.4142135623730951,1.0,0.3,0.75,5.0,0.5,2.0,0.1,5,5.0,2.0,7,False,-100,False,878,4932,17.8,71,565,12.57,"(9.5, 8.5)",34,36,94.44,24,26,92.31,34,36,94.44
mgs_level.json,81.169,1.4142135623730951,1.0,0.3,0.75,5.0,0.5,2.0,0.1,5,5.0,2.0,7,False,-100,False,682,4355,15.66,91,533,17.07,"(13.0, 7.0)",33,36,91.67,33,36,91.67,33,36,91.67
mgs_level.json,336.411,1.4142135623730951,1.0,0.3,0.75,5.0,0.5,2.0,0.1,5,5.0,2.0,7,False,-100,False,4154,18458,22.51,707,2476,28.55,"(6.5, 5.0)",36,36,100.0,36,36,100.0,32,36,88.89
mgs_level.json,102.986,1.4142135623730951,1.0,0.3,0.75,5.0,0.5,2.0,0.1,5,5.0,2.0,7,False,-100,False,859,5123,16.77,108,619,17.45,"(4.0, 2.0)",36,36,100.0,36,36,100.0,36,36,100.0
mgs_level.json,129.327,1.4142135623730951,1.0,0.3,0.75,5.0,0.5,2.0,0.1,5,5.0,2.0,7,False,-100,False,1172,6890,17.01,179,870,20.57,"(8.0, 2.0)",36,36,100.0,36,36,100.0,36,36,100.0
mgs_level.json,116.329,1.4142135623730951,1.0,0.3,0.75,5.0,0.5,2.0,0.1,5,5.0,2.0,7,False,-100,False,1105,6024,18.34,153,729,20.99,"(13.0, 2.5)",36,36,100.0,36,36,100.0,36,36,100.0
