Level,Runtime (s),C (exploration constant),k (progressive widening constant),alpha (progressive widening exponent),delta (visible area distance),theta (shadow distance),beta (guard distance),gamma (kernel distance),tau (kernel decay rate),top_k (kernels scored),eta (depth bonus),lambda (rollout weight),phi (rollout depth),rollout_ratio,visible node penalty,brute_force_moves,path_cache_hits,num_path_queries,path_cache_hit_ratio,tt_hits,tt_queries,tt_hit_ratio,player_start_pos,visits_timesteps_shadow,visits_total_timesteps,visits_shadow_pct
mgs_level.json,60.006,1.4142135623730951,1.0,0.3,0.75,5.0,0.5,0.8,0.1,1,5.0,1.0,7,False,-100,False,243,2646,9.18,90,456,19.74,"(18.6, 10.3)",35,36,97.22
mgs_level.json,60.228,1.4142135623730951,1.0,0.3,0.75,5.0,0.5,0.8,0.1,1,5.0,1.0,7,False,-100,False,155,2912,5.32,130,623,20.87,"(13.6, 10.6)",30,36,83.33
mgs_level.json,60.12,1.4142135623730951,1.0,0.3,0.75,5.0,0.5,0.8,0.1,1,5.0,1.0,7,False,-100,False,147,2658,5.53,83,494,16.8,"(1.5, 9.5)",35,36,97.22
mgs_level.json,168.45,1.4142135623730951,1.0,0.3,0.75,5.0,0.5,0.8,0.1,1,5.0,1.0,7,False,-100,False,654,8789,7.44,508,1930,26.32,"(7.0, 8.5)",36,36,100.0
mgs_level.json,90.831,1.4142135623730951,1.0,0.3,0.75,5.0,0.5,0.8,0.1,1,5.0,1.0,7,False,-100,False,166,2710,6.13,94,546,17.22,"(9.5, 8.5)",36,36,100.0
mgs_level.json,140.603,1.4142135623730951,1.0,0.3,0.75,5.0,0.5,0.8,0.1,1,5.0,1.0,7,False,-100,False,401,5581,7.19,235,1104,21.29,"(13.0, 7.0)",28,36,77.78
mgs_level.json,202.125,1.4142135623730951,1.0,0.3,0.75,5.0,0.5,0.8,0.1,1,5.0,1.0,7,False,-100,False,557,8170,6.82,429,1727,24.84,"(6.5, 5.0)",36,36,100.0
mgs_level.json,79.452,1.4142135623730951,1.0,0.3,0.75,5.0,0.5,0.8,0.1,1,5.0,1.0,7,False,-100,False,161,3372,4.77,123,699,17.6,"(4.0, 2.0)",36,36,100.0
mgs_level.json,133.775,1.4142135623730951,1.0,0.3,0.75,5.0,0.5,0.8,0.1,1,5.0,1.0,7,False,-100,False,401,6001,6.68,293,1287,22.77,"(8.0, 2.0)",36,36,100.0
mgs_level.json,76.103,1.4142135623730951,1.0,0.3,0.75,5.0,0.5,0.8,0.1,1,5.0,1.0,7,False,-100,False,214,3601,5.94,137,686,19.97,"(13.0, 2.5)",36,36,100.0
