Level,Runtime (s),C (exploration constant),k (progressive widening constant),alpha (progressive widening exponent),delta (visible area distance),theta (shadow distance),beta (guard distance),gamma (kernel distance),tau (kernel decay rate),top_k (kernels scored),eta (depth bonus),lambda (rollout weight),phi (rollout depth),rollout_ratio,visible node penalty,visible edge penalty,brute_force_moves,max_kernel_moves,path_cache_hits,num_path_queries,path_cache_hit_ratio,tt_hits,tt_queries,tt_hit_ratio,player_start_pos,visits_timesteps_shadow,visits_total_timesteps,visits_shadow_pct,score_timesteps_shadow,score_total_timesteps,score_shadow_pct,back_timesteps_shadow,back_total_timesteps,back_shadow_pct
mgs_level.json,60.051,1.4142135623730951,1.0,0.3,0.75,5.0,0.5,0.8,0.1,1,5.0,2.0,30,False,-100,0,False,inf,167,2055,8.13,48,356,13.48,"(18.6, 10.3)",30,36,83.33,34,36,94.44,34,36,94.44
mgs_level.json,73.346,1.4142135623730951,1.0,0.3,0.75,5.0,0.5,0.8,0.1,1,5.0,2.0,30,False,-100,0,False,inf,113,2564,4.41,82,503,16.3,"(13.6, 10.6)",30,36,83.33,30,36,83.33,30,36,83.33
mgs_level.json,60.082,1.4142135623730951,1.0,0.3,0.75,5.0,0.5,0.8,0.1,1,5.0,2.0,30,False,-100,0,False,inf,215,2217,9.7,110,421,26.13,"(1.5, 9.5)",30,36,83.33,30,36,83.33,30,36,83.33
mgs_level.json,112.389,1.4142135623730951,1.0,0.3,0.75,5.0,0.5,0.8,0.1,1,5.0,2.0,30,False,-100,0,False,inf,213,4577,4.65,212,985,21.52,"(7.0, 8.5)",36,36,100.0,36,36,100.0,36,36,100.0
mgs_level.json,106.329,1.4142135623730951,1.0,0.3,0.75,5.0,0.5,0.8,0.1,1,5.0,2.0,30,False,-100,0,False,inf,258,4421,5.84,167,882,18.93,"(9.5, 8.5)",36,36,100.0,27,27,100.0,35,36,97.22
mgs_level.json,63.271,1.4142135623730951,1.0,0.3,0.75,5.0,0.5,0.8,0.1,1,5.0,2.0,30,False,-100,0,False,inf,128,2871,4.46,101,576,17.53,"(13.0, 7.0)",33,36,91.67,33,36,91.67,33,36,91.67
mgs_level.json,90.83,1.4142135623730951,1.0,0.3,0.75,5.0,0.5,0.8,0.1,1,5.0,2.0,30,False,-100,0,False,inf,175,4517,3.87,209,1005,20.8,"(6.5, 5.0)",36,36,100.0,36,36,100.0,36,36,100.0
mgs_level.json,84.076,1.4142135623730951,1.0,0.3,0.75,5.0,0.5,0.8,0.1,1,5.0,2.0,30,False,-100,0,False,inf,180,3942,4.57,126,770,16.36,"(4.0, 2.0)",36,36,100.0,36,36,100.0,36,36,100.0
mgs_level.json,79.803,1.4142135623730951,1.0,0.3,0.75,5.0,0.5,0.8,0.1,1,5.0,2.0,30,False,-100,0,False,inf,188,3724,5.05,149,747,19.95,"(8.0, 2.0)",35,36,97.22,36,36,100.0,36,36,100.0
mgs_level.json,72.062,1.4142135623730951,1.0,0.3,0.75,5.0,0.5,0.8,0.1,1,5.0,2.0,30,False,-100,0,False,inf,106,2704,3.92,90,527,17.08,"(13.0, 2.5)",36,36,100.0,36,36,100.0,36,36,100.0
