Total nodes in tree: 2419, with max depth 38
Node breadth by depth:
  Depth 0: 1 node(s)
  Depth 1: 4 node(s)
  Depth 2: 11 node(s)
  Depth 3: 16 node(s)
  Depth 4: 24 node(s)
  Depth 5: 31 node(s)
  Depth 6: 44 node(s)
  Depth 7: 69 node(s)
  Depth 8: 107 node(s)
  Depth 9: 119 node(s)
  Depth 10: 142 node(s)
  Depth 11: 112 node(s)
  Depth 12: 98 node(s)
  Depth 13: 75 node(s)
  Depth 14: 47 node(s)
  Depth 15: 19 node(s)
  Depth 16: 8 node(s)
  Depth 17: 9 node(s)
  Depth 18: 14 node(s)
  Depth 19: 25 node(s)
  Depth 20: 37 node(s)
  Depth 21: 53 node(s)
  Depth 22: 77 node(s)
  Depth 23: 93 node(s)
  Depth 24: 125 node(s)
  Depth 25: 151 node(s)
  Depth 26: 162 node(s)
  Depth 27: 196 node(s)
  Depth 28: 188 node(s)
  Depth 29: 114 node(s)
  Depth 30: 69 node(s)
  Depth 31: 39 node(s)
  Depth 32: 32 node(s)
  Depth 33: 33 node(s)
  Depth 34: 20 node(s)
  Depth 35: 14 node(s)
  Depth 36: 19 node(s)
  Depth 37: 19 node(s)
  Depth 38: 4 node(s)
Took 60.008 to find the best path
