Total nodes in tree: 7918, with max depth 67, and maximum allowed edges 5
Node breadth by depth:
  Depth 0: 1 node(s)
  Depth 1: 4 node(s)
  Depth 2: 16 node(s)
  Depth 3: 54 node(s)
  Depth 4: 124 node(s)
  Depth 5: 203 node(s)
  Depth 6: 187 node(s)
  Depth 7: 103 node(s)
  Depth 8: 76 node(s)
  Depth 9: 63 node(s)
  Depth 10: 38 node(s)
  Depth 11: 42 node(s)
  Depth 12: 67 node(s)
  Depth 13: 75 node(s)
  Depth 14: 88 node(s)
  Depth 15: 97 node(s)
  Depth 16: 55 node(s)
  Depth 17: 21 node(s)
  Depth 18: 4 node(s)
  Depth 19: 6 node(s)
  Depth 20: 13 node(s)
  Depth 21: 11 node(s)
  Depth 22: 9 node(s)
  Depth 23: 13 node(s)
  Depth 24: 17 node(s)
  Depth 25: 28 node(s)
  Depth 26: 42 node(s)
  Depth 27: 59 node(s)
  Depth 28: 83 node(s)
  Depth 29: 97 node(s)
  Depth 30: 151 node(s)
  Depth 31: 200 node(s)
  Depth 32: 254 node(s)
  Depth 33: 310 node(s)
  Depth 34: 347 node(s)
  Depth 35: 369 node(s)
  Depth 36: 334 node(s)
  Depth 37: 316 node(s)
  Depth 38: 354 node(s)
  Depth 39: 366 node(s)
  Depth 40: 362 node(s)
  Depth 41: 247 node(s)
  Depth 42: 292 node(s)
  Depth 43: 291 node(s)
  Depth 44: 257 node(s)
  Depth 45: 236 node(s)
  Depth 46: 221 node(s)
  Depth 47: 193 node(s)
  Depth 48: 158 node(s)
  Depth 49: 143 node(s)
  Depth 50: 131 node(s)
  Depth 51: 147 node(s)
  Depth 52: 150 node(s)
  Depth 53: 131 node(s)
  Depth 54: 93 node(s)
  Depth 55: 50 node(s)
  Depth 56: 33 node(s)
  Depth 57: 22 node(s)
  Depth 58: 24 node(s)
  Depth 59: 12 node(s)
  Depth 60: 4 node(s)
  Depth 61: 3 node(s)
  Depth 62: 3 node(s)
  Depth 63: 3 node(s)
  Depth 64: 3 node(s)
  Depth 65: 3 node(s)
  Depth 66: 7 node(s)
  Depth 67: 3 node(s)
Took 142.739 to find the best path
